Title 品名,URL 網頁,objectID,Artist 作者,Artist Inscriptions 作者款識,Colophons 題跋,Seals 印章,Museum 館藏,Museum Object Identifier 收藏號碼,Publications / Citations 出版,Authenticity Concerns 真偽問題
歲朝圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1227&Dept=P,1227,Zhao Chang 趙昌,臣昌（重一）        ,"Qianlong emperor 清高宗 (乾隆)
滿幅輕綃薈眾芳。歲朝首祚報韶光。硃紅石綠出畫院。寫態傳情惟趙昌。祇以麗稱弗論格。稡於多處若聞香。宣和好畫非真好。跡涉竽吹熱鬧場。江少虞謂趙昌畫若染成。不為采色所隱。是幀寫生工妙。信非昌不能辦。第玩其結構。下截布置分明。水仙已居其半。而湖石以上僅五寸許。花朵繁密。略無餘地。枝幹俱未能展拓盡勢。名人章法。殊不如此。蓋畫幅本大。或有破損處。為庸賈割去。別署偽款。所存已非全壁。然昌畫不多覯。吉光片羽。亦自可珍。既題以什。並識所見如右。丙申(西元一七七六年)歲朝。御筆。","乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
御書房鑑藏寶
八徵耄念之寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑒璽
天目山房圖書之記
項叔子
項墨林秘笈之印
子京（瓢印）","National Palace Museum, Taibei 台北故宮",故畫00004900000,"石渠寶笈續編（御書房），第四冊，頁1917
故宮書畫錄（卷五），第三冊，頁48-49
故宮書畫圖錄，第一冊，頁199-200
1.〈宋趙昌歲朝圖〉，收入國立故宮博物院編輯委員會編，《名寶上珍》（臺北：國立故宮博物院，1995年初版一刷），頁215。 2.劉芳如，〈宋趙昌歲朝圖〉，收入國立故宮博物院編輯委員會編，《畫梅名品特展》（臺北：國立故宮博物院，1991年元月初版），頁79。 3.劉芳如，〈中國古畫裡的草蟲世界 — 「草蟲天地」特展介紹（上）〉，《故宮文物月刊》，第220期（2001年7月），頁7。 4.〈宋趙昌歲朝圖　軸〉，收入譚怡令、劉芳如、林莉娜主編，《滿庭芳-歷代花卉名品特展》（臺北：國立故宮博物院，2010年十二月初版一刷），頁174-175。 5.陳昱全，〈傳趙昌〈歲朝圖〉與「舖殿花」〉，《故宮文物月刊》，第337期（2011年4月），頁48-57。",
四喜圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13945&Dept=P,13945,Zhao Chang 趙昌,(none),"Dong Qichang 董其昌
北宋趙昌之精於花鳥。其秀潤不減王晉卿。而易慶之輩。皆奉為典型者也。此幅尤屬神品。余得之金臺旅邸。重加裝潢。以垂不朽。其昌。","董玄宰
乾隆御覽之寶
養心殿鑑藏寶
石渠寶笈
嘉慶御覽之寶
宣統御覽之寶
玉蘭堂圖書記
（左上角二印。漫漶不可辨。）","National Palace Museum, Taibei 台北故宮",故畫00005000000,"石渠寶笈初編（養心殿），上冊，頁658
故宮書畫錄（卷五），第三冊，頁50
故宮書畫圖錄，第一冊，頁201-202
1.譚怡令，〈宋趙昌四喜圖〉，收入譚怡令編，《呂紀花鳥畫特展》（臺北：國立故宮博物院，1995年初版），頁100。 2.〈傳宋趙昌四喜圖〉，收入陳階晉、賴毓芝主編，《追索浙派》（臺北：國立故宮博物院，2008年初版一刷），頁171。",
寒巖積雪,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13946&Dept=P,13946,Yan Su 燕肅,(none),"Anonymous
宋燕穆之寒巖積雪圖。齊郡周公謹密慧眼精鑒。載之雲煙過眼錄中。此灼然無疑。宣德庚戌重九亭午。有客以見示。余傾囊購取之。越三日始克窮其妙趣。命工裝裱藏之。

宋燕穆之寒巖積雪圖。檇李姚氏家藏。

Li Rihua李日華
燕尚書寒巖積雪圖。匹紙所畫。其長四尺。筆墨皆佳。精彩煥發。神物也。舊藏姚文毅公家。公沒。雲東逸史屢遣人物色之。不可復得。後流傳數家。皆不賞識。萬曆丁未人日。過墨林子高齋。忽有持示者。余展玩驚歎。恍然若失者累日。昔見石田先生臨本。今復見廬山真面目矣。李日華記。","乾隆御覽之寶
乾隆鑑賞
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶
無逸齋精鑑璽
天籟閣
退密
項墨林父秘笈之印
項墨林鑑賞章
項子京家珍藏
六藝之圃
淨因菴主
太符真賞
李繼泉真賞章
長水李氏珍藏
宣統鑑賞","National Palace Museum, Taibei 台北故宮",故畫00005200000,"石渠寶笈三編（延春閣），第三冊，頁1387
故宮書畫錄（卷五），第三冊，頁51-52
故宮書畫圖錄，第一冊，頁209-210",
早春圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=47&Dept=P,47,Guo Xi 郭熙,壬子年（西元一○七二年）郭熙畫,"Qianlong emperor 清高宗 (乾隆)
樹纔發葉溪開凍， 樓閣山居最上層； 不藉柳桃閒點綴， 春山早見氣如蒸。 乾隆己卯（西元1759年）御題。","郭熙筆
乾隆宸翰
內府書畫
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
養心殿鑑藏寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑒璽
明昌御覽
司印（半印）
真賞
珍秘
丹誠
琴書堂
都尉耿信公書畫之章
公
信公珍賞
宜爾子孫
東平
阿爾喜普之印
御賜忠孝堂長白山索氏珍藏
九如清玩
也園珍賞
道濟書府
仲雅
善卿
肅齋
石渠繼鑑","National Palace Museum, Taibei 台北故宮",故畫00005300000,"石渠寶笈初編（養心殿），上冊，頁642
故宮書畫錄（卷五），第三冊，頁52-53
故宮書畫圖錄，第一冊，頁213-214
1.何傳馨，〈宋郭熙早春圖〉，收入王耀庭、許郭璜、陳階晉編，《故宮書畫菁華特輯》（臺北：國立故宮博物院，1987年初版，2001年再版），頁74-77。 2.許郭璜，〈宋郭熙早春圖〉，收入《李郭山水畫系特展》（臺北：國立故宮博物院，1999年初版），頁1-4。 3.〈宋郭熙早春圖〉，收入國立故宮博物院編輯委員會編，《春景山水畫特展圖錄》（臺北：國立故宮博物院，1987年一月初版），頁46。 4.陳韻如，〈宋郭熙早春圖　軸〉，收入林柏亭主編，《大觀-北宋書畫特展》（臺北：國立故宮博物院，2006年初版一刷），頁72-77。 5.陳韻如，〈早春圖〉，收入林柏亭主編，《國寶菁華 — 書畫‧圖書文獻篇》（臺北：國立故宮博物院，2006年12月），頁197。 6.〈宋郭熙早春圖〉，收入國立故宮博物院編輯委員會編，《名寶上珍》（臺北：國立故宮博物院，1995年初版一刷），頁224。 7.何傳馨，〈國之重寶 — 書畫精萃特展〉，《故宮文物月刊》，第19期（1984年10月），頁20。 8.高木森，〈郭熙「早春圖」有一半是裱工偽造的劣蹟嗎？ — 評徐小虎的「表面之下 — 補筆之研究」〉，《故宮文物月刊》，第117期（1992年12月），頁76-93。 9.江兆申，〈山鷓棘雀、早春與文會(談故宮三張宋畫)〉，《故宮季刊》，第十一卷第四期（1977年夏），頁13-21。 10.李霖燦，〈山水畫中點景人物的斷代研究〉，《故宮季刊》，第十三卷第二期（1978年冬），頁25-40。 11.李霖燦，〈故宮博物院的名畫寶藏(上)〉，《故宮季刊》，第十三卷第四期（1979年夏），頁69-83。 12.陳葆真，〈從空間表現法看南宋小景山水畫的發展〉，《故宮學術季刊》，第十三卷第三期（1996年春），頁83-117。 13.沈以正，〈由郭熙與張擇端探討對北宋繪畫創作的理念與技法〉，《中華民國建國八十年中國藝術文物討論會論文集　書畫(上)》（臺北：國立故宮博物院，1992），頁33-44。 14.《郭熙早春圖》（台北：國立故宮博物院，1980）。 15.小川裕充，〈「院中名畫」--從董羽、巨然、燕蕭到郭熙〉，《藝術學》，第23期(2007年1月)，頁229-308。 16.朱淑媛，《北宋郭熙繪畫觀研究》，中國文化學院藝術研究所碩士論文，1979年。 17.楊元錚，〈談耿昭忠與安岐的兩方""珍祕""印〉，《故宮博物院院刊》，總第141期(2009年第1期)，頁60-63。 18.陳韻如，〈宋郭熙早春圖〉，收入蔡玫芬主編，《精彩一百　國寶總動員》（臺北：國立故宮博物院，2011年九月初版一刷），頁262。 19.賴國生；〈院藏高劍父山水圖賞析〉，《故宮文物月刊》，第356期（2012年11月份），頁116-126。 20.陳韻如；〈兩宋山水畫意的轉折──試論李唐山水畫的畫史位置〉，《故宮學術季刊》，第二十九卷第四期（2012年夏），頁75-107。
陳韻如，〈宋郭熙早春圖　軸〉，收入《公主的雅集-蒙元皇室與書畫鑑藏文化特展》（臺北：國立故宮博物院，2016.10），頁100-107、270-271。
國立故宮博物院編輯委員會，〈宋郭熙早春圖　軸〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁74-77。
劉芳如、浦莉安、陳韻如，〈宋郭熙早春圖　軸〉，收入《鎮院國寶-范寬●郭熙●李唐》（臺北：國立故宮博物院，2021.10），頁72-103。",
關山春雪圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1280&Dept=P,1280,Guo Xi 郭熙,熙寧壬子（西元一○七二年）二月。奉王旨畫關山春雪之圖。臣熙進。,(none),"嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
一印不可辨
御書（半印）
宣統御覽之寶","National Palace Museum, Taibei 台北故宮",故畫00005500000,"石渠寶笈三編（延春閣），第三冊，頁1393
故宮書畫錄（卷五），第三冊，頁53-54
故宮書畫圖錄，第一冊，頁215-216",
雪山行旅圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13947&Dept=P,13947,Guo Xi 郭熙,(none),"Qianlong emperor 清高宗 (乾隆)
天娥快剪剪薄紈。瓊華一夜纈萬巒。臨風玉樹枝簇攅。大地變作銀界觀。凍峽千尺白龍蟠。濺壁大小皆珠丸。㟏岈嶻嶪那可攀。剰有羊腸路屈盤。誰歟馬背凌兢寒。羸僕皸瘃尤堪憐。溪橋滑刺手足攣。冷風吹揭墊角冠。名利子也何足歎。谷迴路轉茆屋連。茆屋有客疑袁安。披卷笑傲忘朝餐。嚴威栗烈不可干。河陽此法摹范寛。當前勞逸憑君看。乾隆壬戌（西元一七四二年）仲秋御題。","惟精惟一
乾隆宸翰
奉三無私
乾隆御覽之寶
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶
都尉耿信公書畫之章","National Palace Museum, Taibei 台北故宮",故畫00005700000,"石渠寶笈三編（延春閣），第三冊，頁1392
故宮書畫錄（卷五），第三冊，頁54-55
故宮書畫圖錄，第一冊，頁223-224",
白蘆雁,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1292&Dept=P,1292,Cui Bai 崔白,濠梁崔白,"Sun Chengze 孫承澤
白露蒼蒼已結霜。蒹葭深處獨徜徉。羽毛無損性情適。不羨高岡有鳳凰。退谷八十一老人題。","孫承澤印
八十一翁
乾隆御覽之寶
石渠寶笈
御書房鑑藏寶
嘉慶御覽之寶
宣統御覽之寶
道濟書府
蒼巖
蕉林居士
司印（半印）","National Palace Museum, Taibei 台北故宮",故畫00006300000,"石渠寶笈初編（御書房），下冊，頁1138
故宮書畫錄（卷五），第三冊，頁60
故宮書畫圖錄，第一冊，頁257-258",
溪山秋色圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1177&Dept=P,1177,Zhaoji emperor 宋徽宗 (趙佶),(none),"Qianlong emperor 清高宗 (乾隆)
雨郭烟村白水環。迷離紅葉間蒼山。恍聞谷口清猿唳。艮嶽秋光想像間。御題。","御書
幾暇鑒賞之璽
乾隆御筆
天府珍藏
乾隆宸翰
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
養心殿鑑藏寶
八徵耄念之寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
司印(半印)
蒼巖子梁清標玉立氏印章
棠村審定
蕉林","National Palace Museum, Taibei 台北故宮",故畫00006600000,"石渠寶笈初編（養心殿），上冊，頁641
故宮書畫錄（卷五），第三冊，頁64
故宮書畫圖錄，第一冊，頁295-296
1.林莉娜，〈宋徽宗谿山秋色〉，收入林莉娜編，《秋景山水畫特展圖錄》（臺北：國立故宮博物院，1989年十月初版），頁65-66。
劉芳如，〈宋徽宗溪山秋色圖　軸〉，收入《國寶的形成-書畫菁華特展》（臺北：國立故宮博物院，2017.10），頁88-91、307。
童文娥，〈宋徽宗溪山秋色圖　軸〉，收入劉芳如主編《遺珠-大阪市立美術館珍藏書畫》（臺北：國立故宮博物院，2021.08），頁90-91、271。",
畫鷹,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1263&Dept=P,1263,Wang Shen 王詵,大宋駙馬王晉卿寫,(none),"嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶","National Palace Museum, Taibei 台北故宮",故畫00006900000,"石渠寶笈三編（延春閣），第三冊，頁1441
故宮書畫錄（卷五），第三冊，頁66-67
故宮書畫圖錄，第一冊，頁311-312",
仁壽圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1311&Dept=P,1311,Cai Zhao 蔡肇,蔡肇,"Zhou Boqi 周伯琦
仁壽賦。生必深山。峰狀自閒。電烻霞駮。樹雜苔班。奇形異質。紛拏不一。屹特立以樹空。倚懸崖而構室。御箭笴而橫臥。聳蓮蓬而半出。龍吟應物。觸紫巖而吐雲。虹梁中斷。駕滄海而觀日。故石之為物也。不奢不僭。無競無猜。偶山水而長往。因和璞而俱來。考之雲籍。則建名古昔。賢億視而長存。經百王而不易。何施而不可。何用而不適。願上吾君千萬年。地久天長履茲石。元統二年(1334)春日。周伯溫書。","玉雪坡主
行中書
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶
御府圖繪之記
晉府書畫之印
晉府
晉府世子圖書
蒼巖子梁清標玉立氏印章
梁清標印
蕉林鑒定
南有堂
蘭陵文子收藏
□翁
一印不可辨","National Palace Museum, Taibei 台北故宮",故畫00007000000,"故宮書畫錄（卷五），第三冊，頁67
石渠寶笈三編（延春閣），第七冊，頁3070
故宮書畫圖錄，第一冊，頁313-314",
老子騎牛圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1185&Dept=P,1185,Zhao Buzhi 晁補之,晁无咎寫,"Qianlong emperor 清高宗 (乾隆)
黃髮番番背已台。禹餘暫下九琳臺。五千不是閒拋置。為付關門令尹迴。御題。

Wang Shen 王詵
瞬瞬西由。打失心修。爾我誰道。騎牛覓牛。君可養慎。子也方收。立脊吐眼。膽直魂勾。木雞牝迸。灑樂心漚。我我無我。歷歷悠悠。晉卿。","雲屏煙障吾廬
會心不遠
德充符
洗硯魚吞墨烹茶鶴避烟
隴西□
乾隆御覽之寶
乾隆鑑賞
秘殿珠林
三希堂精鑑璽
宜子孫
珠林重定
秘殿新編
乾清宮鑑藏寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑒璽
有明文靖世家圖書
太上皇帝","National Palace Museum, Taibei 台北故宮",故畫00007100000,"秘殿珠林續編 （乾清宮），第一冊，頁229
故宮書畫錄（卷五），第三冊，頁68
故宮書畫圖錄，第一冊，頁315-316
1.王耀庭，〈宋晁補之老子騎牛圖〉，收入王耀庭、童文娥編，《長生的世界：道教繪畫特展圖錄》（臺北：國立故宮博物院，1996年初版），頁66。 2.本社，〈宋晁補之老子騎牛圖〉，《故宮文物月刊》，第23期（1985年2月），封底裡。
邱士華，〈宋晁補之老子騎牛圖　軸〉，收入《行篋隨行-乾隆南巡行李箱中的書畫》（臺北：國立故宮博物院，2017.03），頁34-37。
",
春山圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1328&Dept=P,1328,Zhao Boju 趙伯駒,(none),"Qianlong emperor 清高宗 (乾隆)
趙伯駒春山圖。
此幀未署名款。而觀其風神筆力。與石渠寶笈所收趙伯駒真跡正合。因為審定標題。蓋伯駒畫多不署名。如赤壁圖經柯九思審定。漢宮圖經董其昌審定。而江山秋色則見跋語中。今為拈出。設遇精鑒如丹丘香光。必當證可。御筆。題句後並識。
古寺雲霞嶠。人家桃柳村。精神北宋本。結構仲長論。大塊文章繢。春山櫽括言。不須問名氏。望可識王孫。乾隆丁丑春月御題。","德充符
會心不遠
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
寧壽宮續入石渠寶笈
樂壽堂鑒藏寶
古希天子
壽
八徵耄念之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑒璽
蘊真齋
珍藏畫印","National Palace Museum, Taibei 台北故宮",故畫00007300000,"石渠寶笈續編（寧壽宮），第五冊，頁2705
故宮書畫錄（卷五），第三冊，頁69-70
故宮書畫圖錄，第二冊，頁3-4
1.〈宋趙伯駒春山圖〉，收入國立故宮博物院編輯委員會編，《春景山水畫特展圖錄》（臺北：國立故宮博物院，1987年一月初版），頁52。 2.本社，〈宋趙伯駒春山圖軸〉，《故宮文物月刊》第26期（1985年5月），封底裡。
何傳馨，〈宋趙伯駒春山圖　軸〉，收入《十全乾隆─清高宗的藝術品味》（臺北：國立故宮博物院，2013.10），頁168-169。",
漢宮圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=39&Dept=P,39,Zhao Boju 趙伯駒,(none),"Qianlong emperor 清高宗 (乾隆)
劉郎七夕集靈臺。阿母青鸞送信來。金馬是誰得陪乘。獨稱方朔善諧詼。已卯（西元一七五九年）御題。

Dong Qichang 董其昌
趙千里學李昭道宮殿。足稱神品。董其昌審定。","寶一
太卦
知制誥日講官
董其昌印
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
寧壽宮續入石渠寶笈
樂壽堂鑒藏寶
古希天子
壽
八徵耄念之寶
懋勤殿鑒定章
乾隆御賞之寶
幾暇鑑賞之璽
宣統御覽之寶
宣統鑑賞
無逸齋精鑒璽
真賞(重一)
琴書堂
千山耿信公書畫之章
信公珍賞(重一)
珍秘
宜爾子孫
丹誠
都尉耿信公書畫之章
信公鑒定珍藏(兩半印)
九如清玩
也園珍賞
櫰庭清玩
東平
會侯珍藏(重一)
（兩半印不識）","National Palace Museum, Taibei 台北故宮",故畫00007500000,"石渠寶笈續篇（寧壽宮），第五冊，頁2704
故宮書畫錄（卷五），第三冊，頁70-71
故宮書畫圖錄，第二冊，頁7-8
1.童文娥，〈宋趙伯駒漢宮圖〉，收入王耀庭、許郭璜、陳階晉編，《故宮書畫菁華特輯》（臺北：國立故宮博物院，1987年初版，2001年再版），頁102-103。 2.國立故宮博物院編輯委員會，〈宋趙伯駒漢宮圖〉，收入國立故宮博物院編輯委員會編，《界畫特展圖錄》（臺北：國立故宮博物院，1986年初版），頁56。 3.本社，〈宋趙伯駒漢宮圖〉，《故宮文物月刊》，第17期（1984年8月），頁1。 4.李霖燦，〈山水畫中點景人物的斷代研究〉，《故宮季刊》，第十三卷第二期（1978年冬），頁25-40。 5.林莉娜，〈漢宮圖〉，收入何傳馨主編，《文藝紹興：南宋藝術與文化‧書畫卷》（臺北：國立故宮博物院，2010年十月初版一刷），頁382。
〈宋趙伯駒漢宮圖　軸〉，收入李玉珉、何炎泉、邱士華主編《妙合神離-董其昌書畫特展》（臺北：國立故宮博物院，2016.01），頁90-91、382。
何傳馨，〈宋趙伯駒漢宮圖　軸〉，收入《文藝紹興-南宋藝術與文化‧書畫卷》（臺北：國立故宮博物院，2010.10），頁278-279、382。
國立故宮博物院編輯委員會，〈宋趙伯駒漢宮圖　軸〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁102-103。",
煙嵐蕭寺,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13954&Dept=P,13954,Li Tang 李唐,(none),"Anonymous
此幅棠村師所貽。據云向曾有邊款李唐製三字。後為裝池俗手截去。誠為可惜。丙辰春重裝。因識。柏鄉魏雋。弟廷樞同煮茗觀。是日正春雨初晴也。

Qianlong emperor 清高宗 (乾隆)
已開南法秀。尚具北宗雄。斟酌誠兼善。精神是獨工。泉聲疑㶁㶁。烟氣鎮濛濛。付與苾芻侶。招提坐悟空。戊子仲春月上澣御題。","淳化軒
淳化軒圖書珍秘寶
乾隆鑑賞
乾隆宸翰
信天主人
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶
晉國奎章
乾坤清玩
司印（半印）
清和珍玩","National Palace Museum, Taibei 台北故宮",故畫00008200000,"石渠寶笈三編（延春閣），第三冊，頁1478
故宮書畫錄（卷五），第三冊，頁74
故宮書畫圖錄，第二冊，頁39-40",
雪江圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13955&Dept=P,13955,Li Tang 李唐,"李唐作
","Dong Qichang 董其昌
李晞古雪江圖。乍披之似唐人筆。宋思陵所謂李唐畫不減李思訓也。董其昌題。","（一印漫漶不識）
董其昌印
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
御書房鑑藏寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
耿昭忠信公氏一字在良別號長白山長收藏書畫印記
都尉耿信公書畫之章
（一印漫漶不識）","National Palace Museum, Taibei 台北故宮",故畫00008300000,"石渠寶笈續編（御書房），第四冊，頁1927
故宮書畫錄（卷五），第三冊，頁75
故宮書畫圖錄，第二冊，頁43-44",
畫花鳥,https://digitalarchive.npm.gov.tw/Painting/Content?pid=917&Dept=P,917,Xiao Rong 蕭瀜,"南院樞密使政蕭瀜恭畫
",(none),"蕭瀜
嘉慶御覽之寶
宣統御覽之寶
潞國敬一主人中和九世傳寶","National Palace Museum, Taibei 台北故宮",故畫00008600000,"故宮書畫錄（卷五），第三冊，頁77
故宮書畫圖錄，第二冊，頁51-52
1.譚怡令，〈遼蕭瀜畫花鳥〉，收入譚怡令編，《呂紀花鳥畫特展》（臺北：國立故宮博物院，1995年初版），頁111。 2.〈傳遼蕭瀜畫花鳥（明呂紀）〉，收入陳階晉、賴毓芝主編，《追索浙派》（臺北：國立故宮博物院，2008年初版一刷），頁177。",
風雨歸牧,https://digitalarchive.npm.gov.tw/Painting/Content?pid=918&Dept=P,918,Li Di 李迪,甲午歲（西元一一七四年）李迪筆。,"Zhaoyun emperor 宋理宗 (趙昀)
冒雨衝風兩牧兒。笠蓑低綰綠楊枝。深宮玉食何從得。稼穡艱難豈不知。緝熙殿書。","御前之印
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
晉國奎章
晉府書畫之印
敬德堂圖書印
御前之印
道濟書府
清和珍玩
乾坤清玩
司印（半印）","National Palace Museum, Taibei 台北故宮",故畫00008700000,"石渠寶笈三編（延春閣），第三冊，頁1480
故宮書畫錄（卷五），第三冊，頁77-78
故宮書畫圖錄，第二冊，頁55-56
1.李玉珉，〈風雨歸牧〉，收入林柏亭主編，《國寶菁華 — 書畫‧圖書文獻篇》（臺北：國立故宮博物院，2006年12月），頁203。 2.李玉珉，〈帝國的回憶　國立故宮博物院瑰寶赴法展專輯一 — 李迪風雨歸牧〉，《故宮文物月刊》，第185期（1998年8月），頁38-39。 3.童文娥，〈風雨歸牧〉，收入何傳馨主編，《文藝紹興：南宋藝術與文化‧書畫卷》（臺北：國立故宮博物院，2010年十月初版一刷），頁389-390。
何傳馨，〈宋李迪風雨歸牧　軸〉，收入《文藝紹興-南宋藝術與文化‧書畫卷》（臺北：國立故宮博物院，2010.10），頁297、389-390。",
十全報喜,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1402&Dept=P,1402,Lin Chun 林椿,畫院待詔林椿畫,"Huang Yue 黃鉞
翠竹蒼松春卉妍。靈禽求友集翩翾。初韶報喜事咸治。六合四和慶十全。御題宋林椿十全報喜圖。臣黃鉞奉勅敬書。","（不辨。葫蘆印）
臣黃鉞印
翰林供奉
周甲延禧之寶
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶
都省書畫之印
晉府書畫之印
果親王府書畫之印
奧本恆之家藏
清閟閣珍玩","National Palace Museum, Taibei 台北故宮",故畫00009300000,"石渠寶笈三編（延春閣），第三冊，頁1485
故宮書畫錄（卷五），第三冊，頁83
故宮書畫圖錄，第二冊，頁97-98",
西湖柳艇圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1222&Dept=P,1222,Xia Gui 夏珪,(none),"Guo Bi 郭畀
此夏禹玉西湖柳艇圖真跡也。筆墨淋漓。雲烟變態。饒有士大夫風骨。論者多謂馬夏之習。蓋亦未見其真面目耳。識者當不河漢斯言。桐邨老人精于賞鑒。所藏古書畫多屬真蹟。余日夕過從。深獲欣賞。此幅尤為壓卷。因識之。天錫郭畀。

Qianlong emperor 清高宗 (乾隆)
南屏山北湧金西。柳色波光望欲迷。最是向年句處。綠陰十里白家堤。或坐肩輿或泛舡。西湖春色耐遊沿。牽懷不為溪山好。親愛民情在眼前。壬辰仲春月。御題。
城郭圍東山護西。平湖烟水望茫迷。如何明鏡忽分兩。為有中間一道隄。又泛湖心綵畫船。任其浮拍任洄沿。神傳禹玉圖中景。倡和無人驀憶前。甲辰莫春叠前韻。御題。

Qian Chen 錢陳
湖光鏡面夾東西。禹玉傳神得得迷。一道裙腰斜柳外。白堤深處接蘇堤。年時。翠罕上湖船。楊柳風邊幾溯沿。天藻題詩成對面。聲聲夏諺趣當前。臣錢陳群恭和。","天錫
古希天子
猶日孜孜
臣錢陳群
宮傅尚書
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
寧壽宮鑑藏寶
樂壽堂續入石渠寶笈
古希天子
壽
八徵耄念之寶
太上皇帝之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
繪林寶玩
梁清標印
蕉林收藏","National Palace Museum, Taibei 台北故宮",故畫00012100000,"石渠寶笈續編 （寧壽宮），第五冊，頁2722
故宮書畫錄（卷五），第三冊，頁103-104
故宮書畫圖錄，第二冊，頁199-200
1.〈宋夏圭西湖柳艇圖〉，收入國立故宮博物院編輯委員會編，《春景山水畫特展圖錄》（臺北：國立故宮博物院，1987年一月初版），頁47-48。 2.王耀庭，〈宋夏圭西湖柳艇圖〉，《故宮文物月刊》，第47期（1987年2月），封底。",
山水,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1233&Dept=P,1233,Xia Gui 夏珪,(none),"Wang Duo 王鐸
夏珪。王鐸鑒定。
老幹不事纖細小巧。骨格堅凝韶秀。有大家氣。即此一畫。雪色蒙晦。石寒鐵色。噫。陰晴不可知。有天道寓于中。謂畫者果無意歟。夏圭錢塘人。寧宗時擅名。師范寬李唐。宗有其儷。凡以觕糲冒圭者非其真也。丙戌三月時居燕。為二弟仲和題。王鐸。","鐸
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
仲和珍藏
王氏鏞
式古堂書畫印
卞令之鑑定","National Palace Museum, Taibei 台北故宮",故畫00012400000,"故宮書畫錄（卷五），第三冊，頁106
故宮書畫圖錄，第二冊，頁209-210
劉芳如，〈宋夏珪山水　軸〉，收入《典範與流傳-范寬及其傳派》（臺北：國立故宮博物院，2015.07），頁166-171、337。",
